From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3)
2020-01-06,140.25333333333333,173.63208333333333,40.25791666666667,48.567499999999995,58.565,11.162916666666668,6.002083333333334,1.4412500000000001,10.120833333333334,0.8870833333333333
2020-01-07,121.69458333333334,151.48625,55.365833333333335,51.159166666666664,72.22541666666666,13.311666666666667,6.164166666666667,1.74875,7.384166666666666,0.99125
2020-01-08,114.69791666666667,128.21541666666667,42.750416666666666,40.93208333333333,56.528333333333336,11.229166666666666,3.3791666666666664,1.3654166666666667,7.409583333333334,0.7075
2020-01-09,83.87166666666667,102.14916666666666,28.61708333333333,33.956250000000004,41.32666666666667,8.448333333333332,4.930434782608696,0.9237500000000001,14.277916666666668,0.3852173913043478
2020-01-10,116.73625,150.35416666666666,34.66136363636363,28.527272727272727,43.355,20.728181818181817,11.659166666666666,1.42,21.738333333333333,0.6687500000000001
2020-01-11,138.08333333333334,183.93416666666667,53.97541666666667,21.129166666666666,55.1175,40.68208333333333,18.89,2.0124999999999997,21.498333333333335,1.04875
2020-01-12,209.08,274.34708333333333,85.86458333333333,19.042916666666667,79.86083333333333,56.655,17.944583333333334,2.9804166666666667,20.791666666666668,1.77625
2020-01-13,232.09708333333333,298.47541666666666,88.87041666666666,22.208333333333332,83.84166666666667,56.01916666666667,14.947083333333333,2.8608333333333333,7.18625,1.6545833333333333
2020-01-14,141.93041666666667,171.50333333333333,41.16125,17.687083333333334,42.80166666666667,29.371666666666666,11.40625,1.2104166666666667,9.146666666666667,0.33083333333333337
2020-01-15,124.10478260869564,159.79347826086956,42.06583333333334,21.503333333333334,45.57375,30.557916666666667,14.28625,1.2145833333333333,10.479166666666666,0.37166666666666665
2020-01-16,132.80916666666667,160.1875,47.46625,19.225833333333334,48.69208333333333,32.27583333333333,13.10375,1.3416666666666668,4.195416666666667,0.47041666666666665
2020-01-17,97.80916666666667,123.72208333333333,46.75458333333333,16.835416666666667,46.915,30.850416666666664,9.75125,1.38875,7.300434782608695,0.4154166666666667
2020-01-18,128.32625,172.66333333333333,52.38333333333333,19.497916666666665,52.8425,34.51375,10.733333333333334,1.57125,10.922916666666666,0.45166666666666666
2020-01-19,119.87833333333333,152.6875,31.155,15.976666666666667,33.797916666666666,23.322916666666668,7.46625,1.0633333333333332,17.60125,0.36541666666666667
2020-01-20,149.03833333333333,202.87166666666667,50.895833333333336,15.769583333333335,49.65416666666667,31.53125,9.175833333333333,1.8720833333333333,12.981250000000001,0.6775000000000001
2020-01-21,192.89583333333334,268.00333333333333,83.10291666666667,17.812083333333334,76.49833333333333,48.98708333333334,14.16625,2.638333333333333,7.3275,0.85125
2020-01-22,212.53125,282.55583333333334,58.93833333333333,20.365,58.62291666666667,40.108333333333334,12.03625,2.182916666666667,8.822916666666666,0.56125
2020-01-23,72.71875,108.90625,33.92333333333333,18.49125,37.404583333333335,25.392916666666668,10.292083333333332,0.8508333333333334,22.660833333333333,0.24708333333333332
2020-01-24,91.59615384615384,133.25692307692307,42.225,20.325,45.11041666666667,29.220416666666665,14.58375,1.1358333333333335,24.69875,0.24291666666666667
2020-01-25,138.79875,197.295,69.04166666666667,23.811666666666667,68.77208333333333,42.9675,16.019166666666667,1.9825,17.54041666666667,0.22791666666666666
2020-01-26,162.03833333333333,228.15291666666667,94.96375,17.224999999999998,86.295,54.21958333333333,17.26125,2.6950000000000003,17.40875,0.2558333333333333
2020-01-27,172.09041666666667,260.0520833333333,100.59541666666667,27.105,96.065,60.52791666666667,23.93166666666667,2.9945833333333334,7.27375,0.22208333333333333
2020-01-28,101.63875,161.8925,56.793749999999996,22.655416666666667,58.06333333333333,38.22291666666667,13.02375,1.5545833333333334,7.833749999999999,0.21
2020-01-29,74.18416666666667,135.96541666666667,54.17416666666667,20.3125,54.742916666666666,36.12208333333333,10.747083333333334,1.36,14.12,0.21
2020-01-30,82.515,133.93545454545455,44.55416666666667,22.07875,47.83041666666667,31.446250000000003,9.887083333333333,1.1316666666666666,15.6975,0.395
2020-01-31,90.22916666666667,130.88541666666666,50.05375,22.516666666666666,52.60958333333334,34.156666666666666,10.64875,1.4041666666666668,15.118333333333332,0.5316666666666666
2020-02-01,98.7675,145.33,65.15625,20.97375,63.98833333333334,40.96958333333333,11.119583333333333,1.66875,16.150833333333335,0.655
2020-02-02,116.34041666666667,159.625,53.06916666666667,23.29041666666667,55.49791666666667,35.60041666666667,11.347916666666668,1.5779166666666666,17.099166666666665,0.6129166666666667
2020-02-03,130.49333333333334,192.73625,86.74166666666667,24.344583333333333,83.45708333333333,51.35999999999999,13.955,2.5595833333333333,18.23125,1.1858333333333333
2020-02-04,194.62833333333333,282.62166666666667,129.74,30.77125,121.54083333333334,74.59333333333333,25.00708333333333,3.7237500000000003,13.883333333333333,2.1995833333333334
2020-02-05,138.33,191.47916666666666,59.07666666666666,23.65125,60.58083333333334,38.20583333333334,18.25166666666667,1.6475,16.619374999999998,0.5775
2020-02-06,117.7675,155.0,54.682916666666664,24.481666666666666,57.45374999999999,36.24458333333333,13.554583333333333,1.7474999999999998,,0.44208333333333333
2020-02-07,152.94791666666666,206.71875,79.07875,24.29375,77.07375,48.189166666666665,21.142083333333336,2.152083333333333,,0.6195833333333333
