From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),AT (degree C),Xylene (ug/m3),RF (mm)
2012-04-01,,,32.41157894736842,34.376666666666665,60.60999999999999,47.59391304347827,0.0,52.79583333333334,0.0,0.0,,,,19.739583333333332,6.26125,37.77291666666667,75.22333333333333,927.0725000000001,0.4995833333333333,34.03875,0.0,
2012-04-02,,,3.7769999999999997,41.6135294117647,45.68545454545454,48.63117647058824,0.0,32.178823529411765,0.0,0.0,,,,24.769090909090906,5.702727272727272,33.75727272727273,35.53090909090909,931.2581818181818,0.5,30.335454545454546,0.0,
2012-04-03,,,23.62142857142857,53.11714285714286,77.28142857142858,90.47571428571428,0.0,32.575714285714284,0.0,0.0,,,,18.898571428571426,5.667142857142857,32.089999999999996,8.854285714285714,930.4557142857144,0.5,35.80285714285714,0.0,
2012-04-04,,,2.2142105263157896,30.81625,33.501999999999995,65.82714285714286,0.0,71.35041666666667,0.0,0.0,,,,19.625,6.374499999999999,38.6085,83.03200000000001,930.6405000000001,0.5,34.429500000000004,0.0,
2012-04-05,,,,99.5,,149.0,0.0,24.0,,,,,,,,,,,,,,
2012-04-06,,,,,,,,,,,,,,,,,,,,,,
2012-04-07,,,41.994285714285716,63.332857142857144,105.80428571428571,118.21999999999998,0.0,21.574285714285715,0.0,0.0,,,,24.38571428571429,5.494285714285715,29.882857142857144,9.13142857142857,912.7371428571429,0.5,34.294285714285714,0.0,
2012-04-08,,,15.932608695652174,38.81791666666667,54.5875,100.97,0.0,46.2575,0.0,0.0,,,,22.3075,6.245833333333334,37.46875,76.60791666666667,915.8425000000001,0.5,33.67333333333333,0.0,
2012-04-09,,,4.247894736842105,34.92208333333333,38.76791666666667,78.39529411764705,0.0,55.165416666666665,0.0,0.0,,,,17.82375,6.342083333333334,38.387499999999996,79.26208333333334,916.5324999999999,0.5,34.40416666666667,0.0,
2012-04-10,,,2.321578947368421,31.77541666666667,34.82142857142857,80.69142857142857,0.0,43.0075,0.0,0.0,,,,24.263809523809524,6.18,36.86571428571428,68.38095238095238,918.5028571428572,0.5,32.94619047619047,0.0,
2012-04-11,,,3.098181818181818,30.53833333333333,33.857083333333335,97.622,0.0,43.97958333333333,0.0,0.0,,,,24.446250000000003,6.099583333333334,36.17958333333333,67.62208333333334,912.7937499999999,0.5,32.969166666666666,0.0,
2012-04-12,,,4.702916666666667,30.14916666666667,35.336666666666666,81.70615384615385,0.0,40.81875,0.0,0.0,,,,27.516666666666666,7.74875,25.624166666666667,78.19791666666667,911.1354166666666,0.5,31.64916666666667,0.0,
2012-04-13,,,8.42090909090909,34.71235294117647,40.15,100.18333333333334,0.0,14.140588235294118,0.0,0.0,,,,39.28272727272727,8.200000000000001,18.95,48.22818181818182,917.5,0.5,27.427272727272726,0.0,
2012-04-14,,,2.7542857142857144,38.79714285714285,42.08714285714286,91.42999999999999,0.0,36.769999999999996,0.0,0.0,,,,20.18857142857143,8.242857142857144,16.537142857142857,8.55857142857143,921.9271428571428,0.5,34.55,0.0,
2012-04-15,,,3.4473684210526314,29.500833333333333,32.79458333333333,58.451249999999995,0.0,46.229166666666664,0.0,0.0,,,,23.690416666666664,8.537083333333333,22.3575,74.52791666666667,924.5579166666666,0.5,33.90083333333333,0.0,
2012-04-16,,,4.7355,31.467083333333335,36.016666666666666,56.79916666666667,0.0,58.4925,0.0,0.0,,,,20.080000000000002,8.579166666666667,21.810000000000002,73.97291666666666,919.0920833333333,0.5,34.26166666666666,0.0,
2012-04-17,,,5.7525,40.65,42.26222222222222,38.23533333333333,0.0,36.724666666666664,0.0,0.0,,,,14.801111111111112,8.227777777777778,16.513333333333335,6.77,908.0377777777778,0.5,35.07666666666667,0.0,
2012-04-18,,,1.0773684210526315,22.334999999999997,23.697916666666668,45.69541666666667,0.0,64.05125,0.0,0.0,,,,20.538333333333334,8.621666666666668,22.424583333333334,72.8025,913.87,0.5,33.38375,0.0,
2012-04-19,,,0.95,21.10125,19.863,31.299375,0.0,53.91,0.0,0.0,,,,28.618000000000002,8.184999999999999,17.880000000000003,30.551,917.8610000000001,0.5,30.635,0.0,
2012-04-20,,,,,,,,,,,,,,,,,,,,,,
2012-04-21,,,,,,,,,,,,,,,,,,,,,,
2012-04-22,,,,,,,,,,,,,,,,,,,,,,
2012-04-23,,,,,,,,,,,,,,,,,,,,,,
2012-04-24,,,12.474285714285715,40.81857142857143,53.76428571428572,36.529999999999994,0.0,35.682857142857145,0.0,0.0,,,,22.669999999999998,8.25,17.341428571428573,20.37857142857143,910.1771428571428,0.5,33.778571428571425,0.0,
2012-04-25,,,4.223636363636364,30.042083333333334,33.2175,69.81761904761905,0.4845833333333333,48.48708333333334,0.0,0.0,,,,24.155416666666667,9.02625,31.375416666666666,140.99791666666667,915.1462499999999,0.4995833333333333,32.931666666666665,0.0,
2012-04-26,,,1.275,15.541428571428572,15.25,36.894285714285715,0.9257142857142858,51.48285714285714,0.0,0.0,,,,34.42875,7.995,16.20875,14.20125,919.37625,0.5,29.1075,0.0,
2012-04-27,,,,,,,,,,,,,,,,,,,,,,
2012-04-28,,,29.279000000000003,37.284166666666664,63.94499999999999,44.105999999999995,2.4125,68.98,0.0,0.0,,,,13.234166666666667,9.253333333333332,33.12833333333334,163.045,901.7333333333332,0.5,37.024166666666666,0.0,
2012-04-29,,,0.904,19.806521739130435,20.695882352941176,30.392105263157898,4.195652173913044,85.34217391304347,0.0,0.0,,,,23.471176470588233,9.282352941176471,39.16588235294118,205.59176470588235,905.3552941176471,0.5,33.32176470588235,0.0,
2012-04-30,,,8.144615384615385,34.30692307692308,42.97076923076923,82.694,0.09846153846153845,65.16307692307693,0.0,0.0,,,,14.756923076923076,9.534615384615385,35.66307692307692,183.2923076923077,892.8253846153846,0.5015384615384615,37.79461538461538,0.0,
2012-05-01,,,2.5435,29.010833333333334,31.407727272727275,74.9425,1.3716666666666668,93.82083333333333,0.0,0.0,,,,17.320454545454545,8.94,34.79631578947368,149.65318181818182,902.5704545454545,0.5054545454545454,33.99727272727273,0.0,
2012-05-02,,,3.698125,32.0947619047619,33.63,84.3375,1.2366666666666666,67.75761904761904,0.0,0.0,,,,26.038947368421052,9.303684210526317,33.26764705882353,154.0536842105263,912.5252631578948,0.5557894736842105,33.550526315789476,0.0,
