From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),MP-Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s),Xylene (ug/m3),RF (mm)
2016-06-18,40.31458333333333,98.71,28.3125,47.92416666666667,76.2,28.190833333333334,2.1366666666666667,15.304583333333333,0.03333333333333333,0.5579166666666667,,28.020833333333332,58.98208333333333,1.8495833333333334,17.145833333333332,134.53235294117647,942.2279166666667,,0.17500000000000002,
2016-06-19,36.782916666666665,84.66250000000001,28.813333333333333,48.57666666666666,77.39,28.574166666666667,2.09625,15.575000000000001,0.029583333333333333,0.42416666666666664,,26.701666666666668,63.80166666666667,1.42875,17.177916666666665,71.212,941.1820833333333,,0.14416666666666667,
2016-06-20,26.826818181818183,52.076249999999995,29.24625,49.17541666666667,78.4225,28.927083333333332,2.137916666666667,15.808750000000002,0.06666666666666667,0.9545833333333333,,26.12291666666667,69.03,0.8054166666666666,17.8975,86.17454545454545,939.80125,,0.39375,
2016-06-21,15.991428571428571,41.04458333333333,32.87,50.290416666666665,83.16,29.582916666666666,2.254583333333333,17.767083333333336,0.04958333333333333,0.8516666666666667,,27.962083333333336,65.34791666666666,1.1075,18.055,182.8411111111111,939.7470833333333,,0.3354166666666667,
2016-06-22,12.3765,34.401666666666664,30.602083333333336,48.79458333333333,79.39874999999999,28.7025,2.26625,16.541666666666668,0.03625,0.6620833333333334,,27.900833333333335,61.150416666666665,1.5679166666666664,17.66375,161.72333333333333,941.7866666666667,,0.26166666666666666,
2016-06-23,11.843,32.40347826086956,31.40041666666667,48.80791666666667,80.14874999999999,28.71083333333333,2.1945833333333336,16.97375,0.037083333333333336,0.6295833333333333,,27.110833333333332,63.28333333333333,1.5287499999999998,17.422916666666666,151.4421052631579,942.1466666666666,,0.2520833333333333,
2016-06-24,12.306315789473684,31.320416666666663,29.24625,31.338333333333335,60.58416666666667,25.09375,2.1374999999999997,15.809166666666668,0.03958333333333334,0.6695833333333333,,25.81625,69.62291666666667,1.48625,17.830833333333334,109.82375,941.7279166666667,,0.27999999999999997,
2016-06-25,7.598695652173913,21.33791666666667,27.179166666666664,12.860416666666666,40.04,20.700416666666666,1.8375000000000001,14.6925,0.04416666666666667,0.7291666666666666,,24.811666666666667,71.35541666666667,1.6029166666666665,17.732083333333332,107.59708333333333,942.5454166666667,,0.3025,
2016-06-26,12.760909090909092,29.042083333333334,26.865416666666665,11.503749999999998,38.369166666666665,19.34375,2.0425,14.522916666666667,0.03791666666666667,0.6170833333333333,,24.8225,72.1825,1.2575,17.944166666666668,94.48833333333333,942.3645833333334,,0.23708333333333334,
2016-06-27,10.043333333333333,34.731249999999996,29.099166666666665,12.085416666666667,41.182916666666664,19.925416666666667,2.1645833333333333,15.728333333333333,0.04666666666666667,0.8158333333333333,,26.179166666666664,67.48416666666667,1.51,18.449583333333333,131.36875,940.6958333333333,,0.3383333333333333,
