From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),Xylene (ug/m3)
2017-06-15,37.38956521739131,78.7986956521739,21.522608695652174,13.499130434782609,,27.66391304347826,6.067391304347827,0.7504347826086957,9.529565217391305,,,31.778260869565216,41.4004347826087,1.498695652173913,195.41608695652172,261.1231818181818,
2017-06-16,33.58708333333333,87.96666666666665,22.27,13.685,,27.765416666666667,6.8933333333333335,0.6375000000000001,4.859583333333333,,,31.323333333333334,50.59375,2.0075,121.3825,297.7320833333333,
2017-06-17,34.464166666666664,84.81625000000001,21.944999999999997,13.492083333333333,,27.7,5.607391304347826,0.9891666666666666,5.952083333333333,,,28.565833333333334,67.1075,1.7070833333333333,160.84,201.75249999999997,
2017-06-18,43.66083333333333,92.78291666666667,21.717916666666667,13.5025,,27.69458333333333,4.885,0.82375,6.41875,,,31.61916666666667,58.322916666666664,1.2504166666666665,162.12041666666667,324.94625,
2017-06-19,39.94625,96.79375,21.273333333333333,13.162083333333333,,27.57875,4.987894736842105,0.8379166666666666,12.795,,,29.357916666666668,67.97666666666667,1.8779166666666667,137.48625,275.2604347826087,
2017-06-20,33.60958333333333,78.95375,21.529583333333335,13.004166666666668,,27.560833333333335,3.3375,0.6991666666666667,9.144166666666667,0.67,4.83375,27.455833333333334,74.01416666666667,1.7495833333333335,142.53541666666666,303.41791666666666,0.585
2017-06-21,31.964166666666667,71.09625,22.10166666666667,13.034583333333332,,27.647916666666664,3.5425,0.9620833333333333,17.388749999999998,0.9823809523809524,2.730909090909091,25.05761904761905,85.1647619047619,1.1280952380952383,196.75333333333333,198.49285714285716,0.8516666666666667
2017-06-22,37.66791666666666,82.10416666666667,22.454166666666666,13.104583333333332,,27.685000000000002,1.9252380952380952,0.7933333333333333,14.43,2.13,3.2325,28.557083333333335,67.96708333333333,1.2558333333333334,180.26375,326.5054166666667,0.32
2017-06-23,39.73,93.07416666666667,21.26,12.903333333333334,,27.55,3.810416666666667,0.8937499999999999,19.808333333333334,1.9144444444444444,2.759,30.6775,62.344166666666666,0.9812500000000001,191.5845833333333,291.2345833333333,1.5333333333333332
2017-06-24,44.445,106.58375000000001,21.047083333333333,13.022083333333333,,27.5475,4.4425,0.8654166666666666,17.687916666666666,2.0525,2.9875,32.862500000000004,56.555,1.2395833333333333,184.30083333333334,291.2475,1.6150000000000002
