From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),O Xylene (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (degree),SR (W/mt2),BP (mmHg),Xylene (ug/m3),AT (degree C),RF (mm)
2022-04-30,15.614583333333334,40.572916666666664,1.3679166666666667,3.9941666666666666,3.24375,6.113333333333333,16.42,0.4075,19.86521739130435,0.3775,6.076250000000001,,,,29.140416666666667,79.78833333333334,1.9124999999999999,224.21541666666667,107.34375,752.0,,32.17791666666667,0.0
2022-05-01,20.34375,46.177083333333336,1.0966666666666667,2.953333333333333,2.4695833333333335,5.605,13.197083333333333,0.3729166666666666,22.925416666666667,0.38000000000000006,3.7504166666666667,,,,29.197083333333335,80.9375,2.3829166666666666,226.39583333333334,104.25,750.8229166666666,,32.22,0.0
2022-05-02,35.96875,73.10416666666667,1.45125,8.253333333333332,5.564583333333334,10.885,12.1225,0.5429166666666666,45.68083333333333,0.8183333333333334,6.03875,,,,29.229583333333334,72.46875,1.9145833333333335,147.03125,110.20833333333333,750.6458333333334,,32.336666666666666,0.0
2022-05-03,28.4375,54.114583333333336,1.1858333333333333,3.3191666666666664,2.7304166666666667,7.6187499999999995,11.761666666666665,0.43083333333333335,23.73166666666667,0.4404166666666667,4.362916666666666,,,,29.199166666666667,80.90625,2.27,201.47916666666666,108.51041666666667,751.8958333333334,,32.120416666666664,0.0
2022-05-04,19.364583333333332,47.59375,1.2820833333333332,3.3562499999999997,2.8295833333333333,6.523333333333333,9.600416666666666,0.41875,20.206666666666667,0.3541666666666667,3.9462499999999996,,,,29.26125,79.60416666666667,2.16,198.25,106.57291666666667,753.3020833333334,,32.20125,0.0
2022-05-05,33.34375,68.625,2.1062499999999997,9.200416666666667,6.608333333333333,10.995833333333332,15.032608695652174,0.51,21.122083333333332,0.8591666666666667,8.229166666666666,,,,29.1725,74.58333333333333,1.8045833333333334,128.64285714285714,107.67708333333333,752.6041666666666,,32.0725,0.0
2022-05-06,30.041666666666668,59.083333333333336,1.3229166666666667,4.754583333333334,3.606666666666667,6.49125,16.98391304347826,0.43124999999999997,25.976521739130437,0.42333333333333334,5.382083333333334,,,,29.00916666666667,79.96875,2.0366666666666666,223.59375,102.10416666666667,751.7708333333334,,32.66416666666667,0.0
2022-05-07,26.428181818181816,47.24227272727273,1.7345454545454544,11.960909090909091,7.767727272727272,9.332727272727272,13.766818181818183,0.5157142857142857,50.721363636363634,0.9463636363636364,5.088636363636364,,,,28.862272727272728,71.63636363636364,1.6181818181818182,235.32954545454547,110.54545454545455,751.0681818181819,,31.699545454545454,0.42045454545454547
2022-05-08,30.319166666666664,53.302083333333336,1.3724999999999998,7.919583333333333,5.329583333333333,8.559166666666668,16.490416666666665,0.5004166666666666,33.4625,0.5995833333333334,5.81375,,,,29.184583333333332,79.1875,1.2237500000000001,201.875,78.5625,749.2395833333334,,32.415416666666665,0.0
2022-05-09,41.520833333333336,89.08,2.2870833333333334,16.573333333333334,10.675833333333335,13.694583333333334,14.215833333333334,0.7166666666666667,44.12416666666667,1.2770833333333333,9.153333333333334,,,,29.488333333333333,69.86458333333333,1.42,211.57291666666666,58.40625,747.03125,,32.55708333333333,0.0
2022-05-10,35.677083333333336,73.82625,4.10625,20.35375,14.16375,13.869583333333333,21.109565217391303,0.7386363636363636,35.10875,1.1304166666666668,9.982083333333334,,,,29.016666666666666,75.54166666666667,1.735,212.0,30.760416666666668,746.9791666666666,,29.5325,0.03125
2022-05-11,36.6875,95.28125,4.41,20.279999999999998,14.380833333333333,15.357083333333334,15.664166666666667,0.5842857142857143,36.190000000000005,1.3766666666666667,14.3175,,,,28.930000000000003,72.5625,1.2745833333333334,258.6770833333333,34.0625,747.84375,,30.33458333333333,0.0
